BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject
AWJG03A02,AWJG03A02,GCA_023055435.1,AWJG03A02_R1_001.fastq.gz,AWJG03A02_R2_001.fastq.gz,39.269758333333336,-123.79865833333334,73-Haliotis,AWJG03A02,73-Haliotis
AWJG03F02,AWJG03F02,GCA_023055435.1,AWJG03F02_R1_001.fastq.gz,AWJG03F02_R2_001.fastq.gz,42.4414,-124.3025,73-Haliotis,AWJG03F02,73-Haliotis
AWJG03C02,AWJG03C02,GCA_023055435.1,AWJG03C02_R1_001.fastq.gz,AWJG03C02_R2_001.fastq.gz,37.700858333333336,-122.99649166666667,73-Haliotis,AWJG03C02,73-Haliotis
AWJG03E02,AWJG03E02,GCA_023055435.1,AWJG03E02_R1_001.fastq.gz,AWJG03E02_R2_001.fastq.gz,42.0558,-124.2057,73-Haliotis,AWJG03E02,73-Haliotis
AWJG03D02,AWJG03D02,GCA_023055435.1,AWJG03D02_R1_001.fastq.gz,AWJG03D02_R2_001.fastq.gz,35.21,-120.8573,73-Haliotis,AWJG03D02,73-Haliotis
AWJG03G02,AWJG03G02,GCA_023055435.1,AWJG03G02_R1_001.fastq.gz,AWJG03G02_R2_001.fastq.gz,32.67363333333333,-117.24614722222222,73-Haliotis,AWJG03G02,73-Haliotis
AWJG03H02,AWJG03H02,GCA_023055435.1,AWJG03H02_R1_001.fastq.gz,AWJG03H02_R2_001.fastq.gz,39.360083333333336,-123.82366666666667,73-Haliotis,AWJG03H02,73-Haliotis
AWJG03A03,AWJG03A03,GCA_023055435.1,AWJG03A03_R1_001.fastq.gz,AWJG03A03_R2_001.fastq.gz,39.269758333333336,-123.79865833333334,73-Haliotis,AWJG03A03,73-Haliotis
AWJG03B03,AWJG03B03,GCA_023055435.1,AWJG03B03_R1_001.fastq.gz,AWJG03B03_R2_001.fastq.gz,38.31356666666667,-123.07554722222221,73-Haliotis,AWJG03B03,73-Haliotis
AWJG03C03,AWJG03C03,GCA_023055435.1,AWJG03C03_R1_001.fastq.gz,AWJG03C03_R2_001.fastq.gz,37.700858333333336,-122.99649166666667,73-Haliotis,AWJG03C03,73-Haliotis
AWJG03D03,AWJG03D03,GCA_023055435.1,AWJG03D03_R1_001.fastq.gz,AWJG03D03_R2_001.fastq.gz,34.05266111111111,-120.3465361111111,73-Haliotis,AWJG03D03,73-Haliotis
AWJG03G03,AWJG03G03,GCA_023055435.1,AWJG03G03_R1_001.fastq.gz,AWJG03G03_R2_001.fastq.gz,41.74355833333333,-124.20152777777778,73-Haliotis,AWJG03G03,73-Haliotis
AWJG03E03,AWJG03E03,GCA_023055435.1,AWJG03E03_R1_001.fastq.gz,AWJG03E03_R2_001.fastq.gz,42.0558,-124.2057,73-Haliotis,AWJG03E03,73-Haliotis
AWJG03F03,AWJG03F03,GCA_023055435.1,AWJG03F03_R1_001.fastq.gz,AWJG03F03_R2_001.fastq.gz,42.4414,-124.3025,73-Haliotis,AWJG03F03,73-Haliotis
AWJG03H03,AWJG03H03,GCA_023055435.1,AWJG03H03_R1_001.fastq.gz,AWJG03H03_R2_001.fastq.gz,39.360083333333336,-123.82366666666667,73-Haliotis,AWJG03H03,73-Haliotis
